FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
l,1,26987944981.554928,198272,78709760,1387904,1280,128,4,7
xl,1,53975889963.109856,198272,78709760,1387904,1280,128,4,7
s,1,4003893963.0504007,198272,113326080,1387904,1536,128,4,7
m,1,8007787926.100801,198272,113326080,1387904,1536,128,4,7
l,1,20019469815.252003,198272,113326080,1387904,1536,128,4,7
xl,1,40038939630.504005,198272,113326080,1387904,1536,128,4,7
l,1,15447211859.820581,198272,154233856,1387904,1792,128,4,7
xl,1,30894423719.641163,198272,154233856,1387904,1792,128,4,7
xl,1,24567227648.50044,198272,201433088,1387904,2048,128,4,7
m,1,7656510091.647813,789760,113326080,5528320,1536,256,4,7
l,1,19141275229.119534,789760,113326080,5528320,1536,256,4,7
xl,1,38282550458.23907,789760,113326080,5528320,1536,256,4,7
l,1,14919059922.583208,789760,154233856,5528320,1792,256,4,7
xl,1,29838119845.166416,789760,154233856,5528320,1792,256,4,7
xl,1,23894572101.355194,789760,201433088,5528320,2048,256,4,7
xl,1,22881110336.44824,1774464,201433088,12421248,2048,384,4,7
s,1,8018482795.286723,198272,42527232,1387904,768,128,6,7
m,1,16036965590.573446,198272,42527232,1387904,768,128,6,7
l,1,40092413976.43362,198272,42527232,1387904,768,128,6,7
xl,1,80184827952.86723,198272,42527232,1387904,768,128,6,7
s,1,5177758668.396452,198272,75577344,1387904,1024,128,6,7
m,1,10355517336.792904,198272,75577344,1387904,1024,128,6,7
l,1,25888793341.98226,198272,75577344,1387904,1024,128,6,7
xl,1,51777586683.96452,198272,75577344,1387904,1024,128,6,7
m,1,7253961301.21906,198272,118064640,1387904,1280,128,6,7
l,1,18134903253.04765,198272,118064640,1387904,1280,128,6,7
xl,1,36269806506.0953,198272,118064640,1387904,1280,128,6,7
l,1,13424805879.454952,198272,169989120,1387904,1536,128,6,7
xl,1,26849611758.909904,198272,169989120,1387904,1536,128,6,7
xl,1,20689623210.51311,198272,231350784,1387904,1792,128,6,7
xl,1,16437120309.095709,198272,302149632,1387904,2048,128,6,7
m,1,6964511523.647915,789760,118064640,5528320,1280,256,6,7
l,1,17411278809.11979,789760,118064640,5528320,1280,256,6,7
xl,1,34822557618.23958,789760,118064640,5528320,1280,256,6,7
l,1,13024102383.031475,789760,169989120,5528320,1536,256,6,7
xl,1,26048204766.06295,789760,169989120,5528320,1536,256,6,7
xl,1,20210478716.07,789760,231350784,5528320,1792,256,6,7
xl,1,16133252300.524338,789760,302149632,5528320,2048,256,6,7
xl,1,19480666015.607224,1774464,231350784,12421248,1792,384,6,7
xl,1,15664786992.482206,1774464,302149632,12421248,2048,384,6,7
s,1,10814623170.079243,198272,25219072,1387904,512,128,8,7
m,1,21629246340.158485,198272,25219072,1387904,512,128,8,7
l,1,54073115850.39621,198272,25219072,1387904,512,128,8,7
xl,1,108146231700.79242,198272,25219072,1387904,512,128,8,7
s,1,6067143573.273815,198272,56702976,1387904,768,128,8,7
m,1,12134287146.54763,198272,56702976,1387904,768,128,8,7
l,1,30335717866.369076,198272,56702976,1387904,768,128,8,7
xl,1,60671435732.73815,198272,56702976,1387904,768,128,8,7
m,1,7810931955.409951,198272,100769792,1387904,1024,128,8,7
l,1,19527329888.52488,198272,100769792,1387904,1024,128,8,7
xl,1,39054659777.04976,198272,100769792,1387904,1024,128,8,7
l,1,13655421241.560513,198272,157419520,1387904,1280,128,8,7
xl,1,27310842483.121025,198272,157419520,1387904,1280,128,8,7
xl,1,20196599189.990345,198272,226652160,1387904,1536,128,8,7
xl,1,15552458667.039328,198272,308467712,1387904,1792,128,8,7
m,1,7476351999.571276,789760,100769792,5528320,1024,256,8,7
l,1,18690879998.92819,789760,100769792,5528320,1024,256,8,7
xl,1,37381759997.85638,789760,100769792,5528320,1024,256,8,7
l,1,13241045155.311316,789760,157419520,5528320,1280,256,8,7
xl,1,26482090310.62263,789760,157419520,5528320,1280,256,8,7
xl,1,19739766084.087738,789760,226652160,5528320,1536,256,8,7
xl,1,15280148441.874706,789760,308467712,5528320,1792,256,8,7
xl,1,19042966905.21258,1774464,226652160,12421248,1536,384,8,7
xl,1,14859270582.419691,1774464,308467712,12421248,1792,384,8,7
s,1,8734461741.93956,198272,31523840,1387904,512,128,10,7
m,1,17468923483.87912,198272,31523840,1387904,512,128,10,7
l,1,43672308709.6978,198272,31523840,1387904,512,128,10,7
xl,1,87344617419.3956,198272,31523840,1387904,512,128,10,7
s,1,4879654448.636523,198272,70878720,1387904,768,128,10,7
m,1,9759308897.273046,198272,70878720,1387904,768,128,10,7
l,1,24398272243.182613,198272,70878720,1387904,768,128,10,7
xl,1,48796544486.36523,198272,70878720,1387904,768,128,10,7
l,1,15675503336.650019,198272,125962240,1387904,1024,128,10,7
xl,1,31351006673.300037,198272,125962240,1387904,1024,128,10,7
xl,1,21901081121.464306,198272,196774400,1387904,1280,128,10,7
xl,1,16185921490.666912,198272,283315200,1387904,1536,128,10,7
l,1,15131899807.3576,789760,125962240,5528320,1024,256,10,7
xl,1,30263799614.7152,789760,125962240,5528320,1024,256,10,7
xl,1,21364909370.39629,789760,196774400,5528320,1280,256,10,7
xl,1,15891186915.547571,789760,283315200,5528320,1536,256,10,7
xl,1,20551019863.267654,1774464,196774400,12421248,1280,384,10,7
xl,1,15436475863.921513,1774464,283315200,12421248,1536,384,10,7
s,1,7325435459.045775,198272,37828608,1387904,512,128,12,7
m,1,14650870918.09155,198272,37828608,1387904,512,128,12,7
l,1,36627177295.22888,198272,37828608,1387904,512,128,12,7
xl,1,73254354590.45776,198272,37828608,1387904,512,128,12,7
s,1,4080918409.0555906,198272,85054464,1387904,768,128,12,7
m,1,8161836818.111181,198272,85054464,1387904,768,128,12,7
l,1,20404592045.277954,198272,85054464,1387904,768,128,12,7
xl,1,40809184090.55591,198272,85054464,1387904,768,128,12,7
l,1,13092890053.744114,198272,151154688,1387904,1024,128,12,7
xl,1,26185780107.488228,198272,151154688,1387904,1024,128,12,7
xl,1,18280132590.33515,198272,236129280,1387904,1280,128,12,7
xl,1,13504227276.8797,198272,339978240,1387904,1536,128,12,7
m,1,7797221344.774914,789760,85054464,5528320,768,256,12,7
l,1,19493053361.937283,789760,85054464,5528320,768,256,12,7
xl,1,38986106723.874565,789760,85054464,5528320,768,256,12,7
xl,1,25422948372.13404,789760,151154688,5528320,1024,256,12,7
xl,1,17905079358.749493,789760,236129280,5528320,1280,256,12,7
xl,1,13298445022.39841,789760,339978240,5528320,1536,256,12,7
xl,1,17329899961.280846,1774464,236129280,12421248,1280,384,12,7
s,1,6307863291.54601,198272,44133376,1387904,512,128,14,7
m,1,12615726583.09202,198272,44133376,1387904,512,128,14,7
l,1,31539316457.73005,198272,44133376,1387904,512,128,14,7
xl,1,63078632915.4601,198272,44133376,1387904,512,128,14,7
m,1,7013773255.147156,198272,99230208,1387904,768,128,14,7
l,1,17534433137.86789,198272,99230208,1387904,768,128,14,7
xl,1,35068866275.73578,198272,99230208,1387904,768,128,14,7
xl,1,22481797657.490208,198272,176347136,1387904,1024,128,14,7
xl,1,15686631205.34267,198272,275484160,1387904,1280,128,14,7
m,1,6742816257.501787,789760,99230208,5528320,768,256,14,7
l,1,16857040643.754469,789760,99230208,5528320,768,256,14,7
xl,1,33714081287.508938,789760,99230208,5528320,768,256,14,7
xl,1,21917181808.107883,789760,176347136,5528320,1024,256,14,7
xl,1,15409644060.39831,789760,275484160,5528320,1280,256,14,7
xl,1,14981702187.922993,1774464,275484160,12421248,1280,384,14,7
s,1,5538511708.856833,198272,50438144,1387904,512,128,16,7
m,1,11077023417.713667,198272,50438144,1387904,512,128,16,7
l,1,27692558544.28417,198272,50438144,1387904,512,128,16,7
xl,1,55385117088.56834,198272,50438144,1387904,512,128,16,7
l,1,15372149659.117048,198272,113405952,1387904,768,128,16,7
xl,1,30744299318.234097,198272,113405952,1387904,768,128,16,7
xl,1,19695820893.452858,198272,201539584,1387904,1024,128,16,7
xl,1,13737603077.082417,198272,314839040,1387904,1280,128,16,7
l,1,14849031206.438883,789760,113405952,5528320,768,256,16,7
xl,1,29698062412.877766,789760,113405952,5528320,768,256,16,7
xl,1,19261117640.373177,789760,201539584,5528320,1024,256,16,7
xl,1,13524702902.310356,789760,314839040,5528320,1280,256,16,7
xl,1,18597132316.245754,1774464,201539584,12421248,1024,384,16,7
xl,1,13193927770.232962,1774464,314839040,12421248,1280,384,16,7
s,1,4936429841.247576,198272,56742912,1387904,512,128,18,7
m,1,9872859682.495152,198272,56742912,1387904,512,128,18,7
l,1,24682149206.237877,198272,56742912,1387904,512,128,18,7
xl,1,49364298412.47575,198272,56742912,1387904,512,128,18,7
l,1,13684612295.008886,198272,127581696,1387904,768,128,18,7
xl,1,27369224590.017773,198272,127581696,1387904,768,128,18,7
xl,1,17524197131.011345,198272,226732032,1387904,1024,128,18,7
l,1,13268489693.461798,789760,127581696,5528320,768,256,18,7
xl,1,26536979386.923595,789760,127581696,5528320,768,256,18,7
xl,1,17179228888.459362,789760,226732032,5528320,1024,256,18,7
xl,1,16649047978.134285,1774464,226732032,12421248,1024,384,18,7
s,1,4452415574.364459,198272,63047680,1387904,512,128,20,7
m,1,8904831148.728918,198272,63047680,1387904,512,128,20,7
l,1,22262077871.822292,198272,63047680,1387904,512,128,20,7
xl,1,44524155743.644585,198272,63047680,1387904,512,128,20,7
xl,1,24661871925.256454,198272,141757440,1387904,768,128,20,7
xl,1,15783894891.48307,198272,251924480,1387904,1024,128,20,7
xl,1,23984095129.593933,789760,141757440,5528320,768,256,20,7
xl,1,15503492924.553108,789760,251924480,5528320,1024,256,20,7
xl,1,15070395868.676426,1774464,251924480,12421248,1024,384,20,7
s,1,4054840649.303904,198272,69352448,1387904,512,128,22,7
m,1,8109681298.607808,198272,69352448,1387904,512,128,22,7
l,1,20274203246.51952,198272,69352448,1387904,512,128,22,7
xl,1,40548406493.03904,198272,69352448,1387904,512,128,22,7
xl,1,22441925682.396122,198272,155933184,1387904,768,128,22,7
xl,1,14358020951.04039,198272,277116928,1387904,1024,128,22,7
xl,1,21879285714.485752,789760,155933184,5528320,768,256,22,7
xl,1,14125619199.342728,789760,277116928,5528320,1024,256,22,7
xl,1,13765189390.94609,1774464,277116928,12421248,1024,384,22,7
m,1,7444895267.595742,198272,75657216,1387904,512,128,24,7
l,1,18612238168.989353,198272,75657216,1387904,512,128,24,7
xl,1,37224476337.97871,198272,75657216,1387904,512,128,24,7
xl,1,20588633308.732388,198272,170108928,1387904,768,128,24,7
xl,1,13168421711.773462,198272,302309376,1387904,1024,128,24,7
xl,1,20114101343.145668,789760,170108928,5528320,768,256,24,7
s,1,14740579943.943344,198272,25192448,1586176,1024,128,2,8
m,1,29481159887.88669,198272,25192448,1586176,1024,128,2,8
l,1,73702899719.71672,198272,25192448,1586176,1024,128,2,8
xl,1,147405799439.43344,198272,25192448,1586176,1024,128,2,8
s,1,10485936764.935833,198272,39354880,1586176,1280,128,2,8
m,1,20971873529.871666,198272,39354880,1586176,1280,128,2,8
l,1,52429683824.67916,198272,39354880,1586176,1280,128,2,8
xl,1,104859367649.35832,198272,39354880,1586176,1280,128,2,8
s,1,7836357791.295599,198272,56663040,1586176,1536,128,2,8
m,1,15672715582.591198,198272,56663040,1586176,1536,128,2,8
l,1,39181788956.478,198272,56663040,1586176,1536,128,2,8
xl,1,78363577912.956,198272,56663040,1586176,1536,128,2,8
s,1,6076316985.804557,198272,77116928,1586176,1792,128,2,8
m,1,12152633971.609114,198272,77116928,1586176,1792,128,2,8
l,1,30381584929.022785,198272,77116928,1586176,1792,128,2,8
xl,1,60763169858.04557,198272,77116928,1586176,1792,128,2,8
s,1,4848366372.041139,198272,100716544,1586176,2048,128,2,8
m,1,9696732744.082277,198272,100716544,1586176,2048,128,2,8
l,1,24241831860.205696,198272,100716544,1586176,2048,128,2,8
xl,1,48483663720.41139,198272,100716544,1586176,2048,128,2,8
s,1,4563293538.49317,789760,100716544,6318080,2048,256,2,8
m,1,9126587076.98634,789760,100716544,6318080,2048,256,2,8
l,1,22816467692.46585,789760,100716544,6318080,2048,256,2,8
xl,1,45632935384.9317,789760,100716544,6318080,2048,256,2,8
s,1,11744950047.318054,198272,28351488,1586176,768,128,4,8
m,1,23489900094.63611,198272,28351488,1586176,768,128,4,8
l,1,58724750236.59027,198272,28351488,1586176,768,128,4,8
xl,1,117449500473.18054,198272,28351488,1586176,768,128,4,8
s,1,7647740894.049054,198272,50384896,1586176,1024,128,4,8
m,1,15295481788.098108,198272,50384896,1586176,1024,128,4,8
l,1,38238704470.24527,198272,50384896,1586176,1024,128,4,8
xl,1,76477408940.49054,198272,50384896,1586176,1024,128,4,8
s,1,5381860666.813397,198272,78709760,1586176,1280,128,4,8
m,1,10763721333.626795,198272,78709760,1586176,1280,128,4,8
l,1,26909303334.06699,198272,78709760,1586176,1280,128,4,8
xl,1,53818606668.13398,198272,78709760,1586176,1280,128,4,8
m,1,7990465648.54071,198272,113326080,1586176,1536,128,4,8
l,1,19976164121.351776,198272,113326080,1586176,1536,128,4,8
xl,1,39952328242.70355,198272,113326080,1586176,1536,128,4,8
l,1,15421415722.481236,198272,154233856,1586176,1792,128,4,8
xl,1,30842831444.96247,198272,154233856,1586176,1792,128,4,8
xl,1,24534592519.281048,198272,201433088,1586176,2048,128,4,8
m,1,7599268330.286331,789760,113326080,6318080,1536,256,4,8
l,1,18998170825.715828,789760,113326080,6318080,1536,256,4,8
xl,1,37996341651.431656,789760,113326080,6318080,1536,256,4,8
l,1,14831981416.02564,789760,154233856,6318080,1792,256,4,8
xl,1,29663962832.05128,789760,154233856,6318080,1792,256,4,8
xl,1,23782756656.660404,789760,201433088,6318080,2048,256,4,8
xl,1,22659281698.594864,1774464,201433088,14195712,2048,384,4,8
s,1,7983820819.045487,198272,42527232,1586176,768,128,6,8
m,1,15967641638.090975,198272,42527232,1586176,768,128,6,8
l,1,39919104095.22744,198272,42527232,1586176,768,128,6,8
xl,1,79838208190.45488,198272,42527232,1586176,768,128,6,8
s,1,5163283683.197435,198272,75577344,1586176,1024,128,6,8
m,1,10326567366.39487,198272,75577344,1586176,1024,128,6,8
l,1,25816418415.98718,198272,75577344,1586176,1024,128,6,8
xl,1,51632836831.97436,198272,75577344,1586176,1024,128,6,8
m,1,7239743947.052798,198272,118064640,1586176,1280,128,6,8
l,1,18099359867.631996,198272,118064640,1586176,1280,128,6,8
xl,1,36198719735.26399,198272,118064640,1586176,1280,128,6,8
l,1,13405317960.414976,198272,169989120,1586176,1536,128,6,8
xl,1,26810635920.829952,198272,169989120,1586176,1536,128,6,8
xl,1,20666472236.495865,198272,231350784,1586176,1792,128,6,8
xl,1,16422504748.862854,198272,302149632,1586176,2048,128,6,8
m,1,6917117220.013909,789760,118064640,6318080,1280,256,6,8
l,1,17292793050.034775,789760,118064640,6318080,1280,256,6,8
xl,1,34585586100.06955,789760,118064640,6318080,1280,256,6,8
xl,1,25915381014.980667,789760,169989120,6318080,1536,256,6,8
xl,1,20130427130.94582,789760,231350784,6318080,1792,256,6,8
xl,1,16082200889.07553,789760,302149632,6318080,2048,256,6,8
xl,1,19319639572.80413,1774464,231350784,14195712,1792,384,6,8
xl,1,15560497071.489553,1774464,302149632,14195712,2048,384,6,8
s,1,10751667110.495485,198272,25219072,1586176,512,128,8,8
m,1,21503334220.99097,198272,25219072,1586176,512,128,8,8
l,1,53758335552.477425,198272,25219072,1586176,512,128,8,8
xl,1,107516671104.95485,198272,25219072,1586176,512,128,8,8
s,1,6047278299.037041,198272,56702976,1586176,768,128,8,8
m,1,12094556598.074081,198272,56702976,1586176,768,128,8,8
l,1,30236391495.185204,198272,56702976,1586176,768,128,8,8
xl,1,60472782990.37041,198272,56702976,1586176,768,128,8,8
m,1,7794450002.406926,198272,100769792,1586176,1024,128,8,8
l,1,19486125006.017315,198272,100769792,1586176,1024,128,8,8
xl,1,38972250012.03463,198272,100769792,1586176,1024,128,8,8
l,1,13635258535.846375,198272,157419520,1586176,1280,128,8,8
xl,1,27270517071.69275,198272,157419520,1586176,1280,128,8,8
xl,1,20174537835.23142,198272,226652160,1586176,1536,128,8,8
xl,1,15539373390.80465,198272,308467712,1586176,1792,128,8,8
m,1,7421762745.8384695,789760,100769792,6318080,1024,256,8,8
l,1,18554406864.596172,789760,100769792,6318080,1024,256,8,8
xl,1,37108813729.192345,789760,100769792,6318080,1024,256,8,8
l,1,13172408234.892239,789760,157419520,6318080,1280,256,8,8
xl,1,26344816469.784477,789760,157419520,6318080,1280,256,8,8
xl,1,19663392916.2454,789760,226652160,6318080,1536,256,8,8
xl,1,15234345673.884579,789760,308467712,6318080,1792,256,8,8
xl,1,18889066597.227436,1774464,226652160,14195712,1536,384,8,8
xl,1,14765398373.283068,1774464,308467712,14195712,1792,384,8,8
s,1,8693349267.894808,198272,31523840,1586176,512,128,10,8
m,1,17386698535.789616,198272,31523840,1586176,512,128,10,8
l,1,43466746339.47404,198272,31523840,1586176,512,128,10,8
xl,1,86933492678.94807,198272,31523840,1586176,512,128,10,8
s,1,4866796177.953117,198272,70878720,1586176,768,128,10,8
m,1,9733592355.906235,198272,70878720,1586176,768,128,10,8
l,1,24333980889.765587,198272,70878720,1586176,768,128,10,8
xl,1,48667961779.53117,198272,70878720,1586176,768,128,10,8
l,1,15648939748.026531,198272,125962240,1586176,1024,128,10,8
xl,1,31297879496.053062,198272,125962240,1586176,1024,128,10,8
xl,1,21875141313.412884,198272,196774400,1586176,1280,128,10,8
xl,1,16171749046.332552,198272,283315200,1586176,1536,128,10,8
l,1,15042326459.20675,789760,125962240,6318080,1024,256,10,8
xl,1,30084652918.4135,789760,125962240,6318080,1024,256,10,8
xl,1,21275471675.50501,789760,196774400,6318080,1280,256,10,8
xl,1,15841653623.28274,789760,283315200,6318080,1536,256,10,8
xl,1,20371893644.7645,1774464,196774400,14195712,1280,384,10,8
xl,1,15335193970.820045,1774464,283315200,14195712,1536,384,10,8
s,1,7296495487.380215,198272,37828608,1586176,512,128,12,8
m,1,14592990974.76043,198272,37828608,1586176,512,128,12,8
l,1,36482477436.90108,198272,37828608,1586176,512,128,12,8
xl,1,72964954873.80215,198272,37828608,1586176,512,128,12,8
s,1,4071921204.089903,198272,85054464,1586176,768,128,12,8
m,1,8143842408.179806,198272,85054464,1586176,768,128,12,8
l,1,20359606020.449512,198272,85054464,1586176,768,128,12,8
xl,1,40719212040.899025,198272,85054464,1586176,768,128,12,8
l,1,13074353198.14996,198272,151154688,1586176,1024,128,12,8
xl,1,26148706396.29992,198272,151154688,1586176,1024,128,12,8
xl,1,18262057545.408825,198272,236129280,1586176,1280,128,12,8
xl,1,13494360566.37796,198272,339978240,1586176,1536,128,12,8
m,1,7737864428.653423,789760,85054464,6318080,768,256,12,8
l,1,19344661071.63356,789760,85054464,6318080,768,256,12,8
xl,1,38689322143.26712,789760,85054464,6318080,768,256,12,8
xl,1,25296409156.50682,789760,151154688,6318080,1024,256,12,8
xl,1,17842220643.352222,789760,236129280,6318080,1280,256,12,8
xl,1,13263738814.105453,789760,339978240,6318080,1536,256,12,8
xl,1,17202350617.264378,1774464,236129280,14195712,1280,384,12,8
s,1,6286393187.440732,198272,44133376,1586176,512,128,14,8
m,1,12572786374.881464,198272,44133376,1586176,512,128,14,8
l,1,31431965937.20366,198272,44133376,1586176,512,128,14,8
xl,1,62863931874.40732,198272,44133376,1586176,512,128,14,8
m,1,7000480961.043947,198272,99230208,1586176,768,128,14,8
l,1,17501202402.609867,198272,99230208,1586176,768,128,14,8
xl,1,35002404805.219734,198272,99230208,1586176,768,128,14,8
